fixed_rate,max_loops,fixed_ratio,reserve_pct,n_epochs,total_apr,avg_fixed_apr,avg_var_apr,min_var_apr,max_var_apr,fixed_hit,shortfalls,var_positive,max_ltv,avg_leverage,avg_spread,delev,emerg,reserve_final,tvl_growth,protocol_fees,total_gas,gas_pct_of_yield
0.05,0,0.5,0.05,55,5.0831803642828,4.999999999999997,3.6922384229235905,1.1206587127231684,6.253902030383368,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,24111.184068774674,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.5,0.1,55,5.0831803642828,4.999999999999997,3.234752190138136,0.7985187804745799,5.661591397205296,100.0,0,100.0,0.0,1.0,2.83255339713977,0,0,48222.36813754935,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.7,0.03,55,5.0831803642828,4.999999999999997,3.1574858807831396,0.0,7.484710472757662,100.0,0,94.54545454545455,0.0,1.0,2.83255339713977,0,0,13451.711702542894,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.7,0.05,55,5.0831803642828,4.999999999999997,2.8649541506576512,0.0,7.089836717305613,100.0,0,94.54545454545455,0.0,1.0,2.83255339713977,0,0,22702.20173115175,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.7,0.1,55,5.0831803642828,4.999999999999997,2.1429371186476374,0.0,6.102652328675493,100.0,0,90.9090909090909,0.0,1.0,2.83255339713977,0,0,45533.95181935343,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.8,0.03,55,5.0831803642828,4.990431235430813,2.4976870555844526,0.0,8.727065709136495,98.18181818181819,1,80.0,0.0,1.0,2.83255339713977,0,0,8746.686497274999,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.8,0.05,55,5.0831803642828,4.9926997613799315,2.131011668467509,0.0,8.134755075958424,98.18181818181819,1,72.72727272727273,0.0,1.0,2.83255339713977,0,0,16285.440450916489,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.8,0.1,55,5.0831803642828,4.9983710762527345,1.2953705768940176,0.0,6.653978493013242,100.0,1,63.63636363636363,0.0,1.0,2.83255339713977,0,0,33423.729039646365,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.9,0.03,55,5.0831803642828,4.888084298532074,1.7549133125864405,0.0,12.454131418272993,85.45454545454545,12,47.27272727272727,0.0,1.0,2.83255339713977,0,0,10.02717263477706,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.9,0.05,55,5.0831803642828,4.928232014316747,1.2913730071554277,0.0,11.26951015191685,90.9090909090909,9,41.81818181818181,0.0,1.0,2.83255339713977,0,0,1087.4038296379233,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,0,0.9,0.1,55,5.0831803642828,4.9613851713042205,0.5474870532433012,0.0,8.307956986026486,94.54545454545455,3,18.181818181818183,0.0,1.0,2.83255339713977,0,0,5783.376541330672,0.0,53580.40904172151,1851.1513743967428,0.3454903401269865
0.05,1,0.5,0.03,55,7.369265984449407,4.999999999999997,7.866738408848664,3.133012720639204,12.387859244174408,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,20972.900727817003,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.5,0.05,55,7.369265984449407,4.999999999999997,7.601444833408488,2.965321736708498,12.029346682438854,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,34954.83454636166,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.5,0.1,55,7.369265984449407,4.999999999999997,6.938210894808037,2.546094276881736,11.133065278099966,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,69909.66909272331,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.7,0.03,55,7.369265984449407,4.999999999999997,9.777897348081105,1.8883545343986743,17.31309874029068,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,20972.900727817003,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.7,0.05,55,7.369265984449407,4.999999999999997,9.335741389014144,1.6088695611808308,16.715577804064754,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,34954.83454636166,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.7,0.1,55,7.369265984449407,4.999999999999997,8.230351491346735,0.9101571281362267,15.221775463499942,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,69909.66909272331,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.8,0.03,55,7.369265984449407,4.999999999999997,12.166846022121668,0.3325318015980113,23.469648110436026,100.0,0,100.0,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,20972.900727817003,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
